ACTUAL ;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
1441891668.png;Ricardo Rodriguez;Defensor;.png;Ricardo Rodriguez.png;Switzerland;1.441.891.668
1441891589.png;Fabian Schar;Defensor;.png;Fabian Schar.png;Switzerland;1.441.891.589
1441890533.png;Manuel Akanji;Defensor;.png;Manuel Akanji.png;Switzerland;1.441.890.533
1441890920.png;Nico Elvedi;Defensor;.png;Nico Elvedi.png;Switzerland;1.441.890.920
1441891348.png;Silvan Widmer;Defensor;.png;Silvan Widmer.png;Switzerland;1.441.891.348
1441891300.png;Eray Comert;Defensor;.png;Eray Comert.png;Switzerland;1.441.891.300
1441890848.png;Xherdan Shaqiri;Mediocampo;.png;Xherdan Shaqiri.png;Switzerland;1.441.890.848
1441890746.png;Granit Xhaka;Mediocampo;.png;Granit Xhaka.png;Switzerland;1.441.890.746
1441890500.png;Remo Freuler;Mediocampo;.png;Remo Freuler.png;Switzerland;1.441.890.500
1441890606.png;Denis Zakaria;Mediocampo;.png;Denis Zakaria.png;Switzerland;1.441.890.606
1441891481.png;Djibril Sow;Mediocampo;.png;Djibril Sow.png;Switzerland;1.441.891.481
1441891378.png;Renato Steffen;Mediocampo;.png;Renato Steffen.png;Switzerland;1.441.891.378
1441891567.png;Fabian Frei;Mediocampo;.png;Fabian Frei.png;Switzerland;1.441.891.567
1441891019.png;Michel Aebischer;Mediocampo;.png;Michel Aebischer.png;Switzerland;1.441.891.019
1441891145.png;Ardon Jashari;Mediocampo;.png;Ardon Jashari.png;Switzerland;1.441.891.145
1441891440.png;Edimilson Fernandes;Mediocampo;.png;Edimilson Fernandes.png;Switzerland;1.441.891.440
1441891070.png;Fabian Rieder;Mediocampo;.png;Fabian Rieder.png;Switzerland;1.441.891.070
1441890438.png;Haris Seferovic;Delantero;.png;Haris Seferovic.png;Switzerland;1.441.890.438
1441890674.png;Breel Embolo;Delantero;.png;Breel Embolo.png;Switzerland;1.441.890.674
1441891203.png;Ruben Vargas;Delantero;.png;Ruben Vargas.png;Switzerland;1.441.891.203
1441891254.png;Noah Okafor;Delantero;.png;Noah Okafor.png;Switzerland;1.441.891.254
1441891103.png;Christian Fassnacht;Delantero;.png;Christian Fassnacht.png;Switzerland;1.441.891.103
1441888229.png;DT Murat Yakin;DT;.png;DT Murat Yakin.png;Switzerland;1.441.888.229
